customerID,username,creationDate
31,customer31,2024-01-01
32,customer32,2024-01-01
33,customer33,2024-01-01
34,customer34,2024-01-01
35,customer35,2024-01-01
36,customer36,2024-01-01
37,customer37,2024-01-01
38,customer38,2024-01-01
39,customer39,2024-01-01
40,customer40,2024-01-01
41,customer41,2024-01-01
42,customer42,2024-01-01
43,customer43,2024-01-01
44,customer44,2024-01-01
45,customer45,2024-01-01
46,customer46,2024-01-01
47,customer47,2024-01-01
48,customer48,2024-01-01
49,customer49,2024-01-01
50,customer50,2024-01-01
51,customer51,2024-01-01
52,customer52,2024-01-01
53,customer53,2024-01-01
54,customer54,2024-01-01
55,customer55,2024-01-01
56,customer56,2024-01-01
57,customer57,2024-01-01
58,customer58,2024-01-01
59,customer59,2024-01-01
60,customer60,2024-01-01
